_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
C,,129-150000-0854,黃良庸,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070854A,129-150000-0854
C,,129-150000-0855,陳敏之,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070855A,129-150000-0855
C,,129-150000-0856,羅滴光,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070856A,129-150000-0856
C,,129-150000-0858,梁若塵,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070858A,129-150000-0858
C,,129-150000-0859,張廣標,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070859A,129-150000-0859
C,,129-150000-0860,陳鼎文,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070860A,129-150000-0860
C,,129-150000-0861,盧靜之,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070861A,129-150000-0861
C,,129-150000-0862,張紀域,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070862A,129-150000-0862
C,,129-150000-0863,陳家芷,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070863A,129-150000-0863
C,,129-150000-0864,杜邁之,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070864A,129-150000-0864
C,,129-150000-0865,章振乾,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070865A,129-150000-0865
C,,129-150000-0866,許俠,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070866A,129-150000-0866
C,,129-150000-0867,陳仰之,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070867A,129-150000-0867
C,,129-150000-0868,葉振榮,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070868A,129-150000-0868
C,,129-150000-0869,陸欽墀,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070869A,129-150000-0869
C,,129-150000-0870,曾伯純,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070870A,129-150000-0870
C,,129-150000-0871,高天,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000070871A,129-150000-0871
